round,validator,crypto,behavior,latency,sensor,effective
85,A,100,12,7,100,59
85,B,100,0,32,96,59
85,C,100,37,1,61,60
85,D,100,43,23,100,71
86,A,100,18,2,100,60
86,B,100,6,27,97,60
86,C,100,43,0,62,62
86,D,100,49,16,100,72
87,A,100,24,5,100,62
87,B,100,12,27,98,62
87,C,100,14,1,63,53
87,D,100,55,17,100,74
88,A,100,30,0,100,64
88,B,100,18,27,99,64
88,C,100,20,0,64,55
88,D,100,61,19,90,74
89,A,100,36,0,100,65
89,B,100,0,23,100,58
89,C,100,26,3,54,56
89,D,100,67,20,91,76
90,A,100,7,1,100,57
90,B,100,0,21,100,58
90,C,100,32,5,55,58
90,D,100,73,18,92,78
91,A,100,13,0,100,58
91,B,100,6,20,100,59
91,C,100,3,2,56,49
91,D,100,79,22,93,80
92,A,100,0,0,100,55
92,B,100,12,26,100,62
92,C,85,0,1,46,41
92,D,100,85,22,94,82
93,A,100,0,1,100,55
93,B,100,18,22,100,63
93,C,86,6,8,47,44
93,D,100,56,29,95,75
94,A,100,6,0,100,56
94,B,100,24,22,100,65
94,C,87,12,9,48,46
94,D,85,62,34,96,72
95,A,100,12,8,100,59
95,B,100,30,17,100,66
95,C,88,18,9,49,49
95,D,86,68,41,97,75
96,A,100,18,14,100,62
96,B,100,36,18,100,68
96,C,89,0,7,50,44
96,D,87,74,36,98,77
97,A,100,24,16,100,64
97,B,100,42,19,100,70
97,C,90,6,6,51,46
97,D,88,45,42,99,69
98,A,100,0,13,100,56
98,B,100,48,18,100,72
98,C,91,12,0,52,47
98,D,89,51,42,100,72
99,A,100,0,10,100,56
99,B,85,54,21,100,68
99,C,92,18,1,53,50
99,D,90,22,46,100,64
100,A,85,0,6,100,49
100,B,86,60,21,100,70
100,C,93,0,5,54,46
100,D,91,0,46,100,58
101,A,86,6,0,90,49
101,B,87,31,24,100,62
101,C,94,6,2,55,47
101,D,92,6,54,100,61
102,A,87,0,0,91,48
102,B,88,37,23,100,64
102,C,95,0,0,56,46
102,D,93,12,61,100,64
103,A,88,0,0,92,49
103,B,89,43,24,100,67
103,C,96,0,6,57,47
103,D,94,18,52,100,65
104,A,89,0,0,93,49
104,B,90,14,22,100,58
104,C,97,0,2,58,47
104,D,95,24,53,100,68
105,A,90,0,0,94,50
105,B,91,20,15,100,59
105,C,98,6,0,59,49
105,D,96,30,54,100,70
106,A,91,6,0,95,52
106,B,92,0,9,100,53
106,C,99,12,2,60,52
106,D,97,36,49,100,71
107,A,92,12,0,96,54
107,B,93,6,5,100,54
107,C,100,18,0,61,54
107,D,98,42,48,90,72
108,A,93,18,6,97,58
108,B,94,12,0,100,56
108,C,100,24,3,62,56
108,D,99,48,46,91,74
109,A,94,0,12,98,54
109,B,95,0,0,100,53
109,C,100,30,7,63,59
109,D,100,54,38,92,75
110,A,95,0,11,99,54
110,B,96,0,5,100,54
110,C,100,36,11,64,62
110,D,100,60,40,93,77
111,A,96,6,19,100,58
111,B,97,6,12,100,57
111,C,100,42,16,54,63
111,D,100,66,48,94,81
112,A,97,12,13,100,59
112,B,98,12,16,100,60
112,C,100,48,11,55,64
112,D,85,72,48,95,77
113,A,98,18,10,100,61
113,B,99,18,7,100,61
113,C,100,54,10,56,66
113,D,86,43,43,96,68
114,A,83,24,5,100,56
114,B,100,24,11,100,63
114,C,100,60,10,57,68
114,D,87,49,42,97,70
115,A,84,30,10,100,59
115,B,100,30,3,100,64
115,C,100,66,11,58,70
115,D,88,55,37,98,71
116,A,85,36,0,100,59
116,B,100,1,7,100,56
116,C,100,72,14,59,72
116,D,89,61,38,99,74
117,A,86,42,1,100,62
117,B,100,7,5,100,57
117,C,100,78,17,60,74
117,D,90,32,31,100,65
118,A,87,48,3,100,64
118,B,100,13,0,100,58
118,C,100,84,18,61,77
118,D,91,38,27,100,66
119,A,88,54,7,100,67
119,B,100,19,4,100,61
119,C,100,90,17,62,78
119,D,92,9,23,100,57
120,A,89,25,5,100,58
120,B,100,0,0,100,55
120,C,100,96,14,63,80
120,D,93,15,22,100,60
121,A,90,0,2,100,51
121,B,100,6,0,100,56
121,C,100,100,15,53,80
121,D,78,21,23,100,55
122,A,91,6,0,100,53
122,B,100,12,1,100,58
122,C,100,100,15,54,80
122,D,79,0,25,100,50
123,A,92,0,0,100,51
123,B,100,18,0,100,60
123,C,100,100,23,55,81
123,D,80,6,25,100,52
124,A,93,6,0,100,54
124,B,100,24,0,100,62
124,C,100,100,26,56,82
124,D,81,12,21,100,54
125,A,94,12,4,100,56
125,B,100,30,0,100,64
125,C,100,71,32,57,74
125,D,82,0,17,100,50
126,A,95,0,3,100,53
126,B,100,36,0,100,65
126,C,100,42,27,58,65
126,D,83,6,11,100,51
127,A,96,6,4,100,55
127,B,100,42,0,100,67
127,C,100,13,23,59,56
127,D,84,0,12,100,50
128,A,97,12,2,100,57
128,B,100,13,5,100,59
128,C,100,19,18,60,57
128,D,85,6,15,100,53
129,A,98,0,0,100,54
129,B,100,0,6,100,55
129,C,100,25,25,61,60
129,D,86,12,14,100,55
130,A,99,0,2,100,54
130,B,100,6,8,100,58
130,C,100,31,28,62,62
130,D,87,18,7,100,56
131,A,100,6,0,100,56
131,B,100,0,3,100,55
131,C,100,37,28,63,64
131,D,88,0,1,100,50
132,A,100,0,5,100,55
132,B,100,6,6,90,56
132,C,100,43,25,64,66
132,D,89,6,1,100,52
133,A,100,0,4,100,55
133,B,100,0,2,91,53
133,C,100,49,32,65,69
133,D,90,0,4,100,51
134,A,100,0,3,100,55
134,B,100,0,6,92,54
134,C,100,55,22,66,69
134,D,91,6,3,100,53
135,A,100,6,12,90,57
135,B,100,6,2,93,56
135,C,100,61,29,67,72
135,D,92,12,0,100,55
136,A,100,12,9,91,58
136,B,100,12,5,94,58
136,C,100,67,28,68,74
136,D,93,0,2,100,52
137,A,100,0,2,92,54
137,B,100,18,6,95,60
137,C,100,73,25,69,76
137,D,94,6,11,100,56
138,A,100,6,0,93,55
138,B,100,24,11,96,63
138,C,100,79,28,70,78
138,D,95,12,8,100,57
139,A,100,12,0,94,57
139,B,100,30,11,97,65
139,C,100,85,29,71,80
139,D,96,18,10,100,60
140,A,100,0,5,95,55
140,B,100,1,14,98,57
140,C,100,56,35,72,72
140,D,97,24,4,100,61
141,A,100,6,0,96,56
141,B,100,7,17,99,59
141,C,100,27,36,73,64
141,D,98,0,3,100,54
142,A,100,0,0,97,54
142,B,100,13,14,100,61
142,C,100,0,38,74,56
142,D,99,6,3,100,56
143,A,100,0,3,98,55
143,B,100,19,15,100,62
143,C,100,0,29,75,55
143,D,100,12,4,100,59
144,A,100,0,4,99,55
144,B,100,25,15,100,64
144,C,100,6,21,76,56
144,D,100,18,12,90,60
145,A,100,6,2,100,57
145,B,100,31,17,100,66
145,C,100,12,16,77,57
145,D,100,0,8,91,54
146,A,100,12,3,100,59
146,B,100,37,11,100,67
146,C,100,18,11,78,58
146,D,100,6,9,92,56
147,A,100,18,4,100,61
147,B,100,43,12,100,69
147,C,100,24,20,79,62
147,D,100,12,5,93,58
148,A,100,0,0,100,55
148,B,100,14,8,100,60
148,C,100,30,21,80,64
148,D,100,18,3,94,59
149,A,100,0,0,100,55
149,B,100,20,11,100,62
149,C,100,36,20,81,65
149,D,100,24,0,95,61
150,A,100,6,1,100,56
150,B,100,26,9,100,64
150,C,100,42,17,82,67
150,D,100,0,4,96,55
151,A,100,12,1,100,58
151,B,100,32,10,90,64
151,C,100,48,18,83,69
151,D,100,6,2,97,56
152,A,100,0,2,100,55
152,B,100,38,7,91,66
152,C,100,54,24,84,72
152,D,100,0,5,98,55
153,A,100,6,5,90,56
153,B,100,44,8,92,68
153,C,100,25,17,85,62
153,D,100,0,5,99,55
154,A,100,12,9,91,58
154,B,100,15,12,93,60
154,C,100,31,16,86,64
154,D,100,6,9,100,58
155,A,100,18,16,92,61
155,B,100,21,7,94,61
155,C,100,37,14,87,66
155,D,100,12,14,100,60
156,A,100,24,15,93,63
156,B,100,27,6,95,63
156,C,100,43,17,88,68
156,D,100,0,17,100,57
157,A,100,0,22,94,57
157,B,100,33,11,96,65
157,C,100,49,17,89,70
157,D,100,6,19,100,59
158,A,100,0,19,95,57
158,B,100,39,5,97,67
158,C,100,55,20,90,73
158,D,100,0,19,100,57
159,A,100,6,13,96,58
159,B,100,45,2,98,68
159,C,100,61,19,91,74
159,D,85,6,20,100,53
160,A,100,12,17,97,60
160,B,100,16,5,99,60
160,C,100,67,23,92,77
160,D,86,12,17,100,55
161,A,100,18,22,98,63
161,B,100,22,10,100,63
161,C,100,73,23,93,79
161,D,87,18,9,100,56
162,A,100,24,19,99,64
162,B,100,28,3,100,63
162,C,100,79,24,94,81
162,D,88,24,9,100,58
163,A,100,30,19,100,66
163,B,100,34,0,100,65
163,C,100,85,28,95,83
163,D,89,0,6,100,51
164,A,100,36,22,100,69
164,B,100,5,9,100,57
164,C,100,91,22,96,85
164,D,90,6,8,100,54
165,A,100,7,23,100,60
165,B,100,11,15,100,60
165,C,100,97,26,97,87
165,D,91,12,2,100,55
166,A,100,13,23,100,62
166,B,100,17,9,100,61
166,C,100,100,31,98,89
166,D,92,18,0,100,57
167,A,100,0,16,100,57
167,B,100,23,0,100,61
167,C,100,100,33,99,89
167,D,93,24,4,100,60
168,A,100,6,19,100,59
168,B,100,0,0,100,55
168,C,100,71,28,100,80
168,D,94,30,6,100,62
169,A,100,12,26,100,62
169,B,100,6,5,100,57
169,C,100,77,34,100,83
169,D,95,36,13,100,65
170,A,100,18,22,100,63
170,B,85,12,11,100,54
170,C,85,48,39,100,69
170,D,96,42,5,100,66
171,A,100,24,30,100,66
171,B,86,18,15,100,57
171,C,86,54,32,100,70
171,D,97,48,13,100,70
172,A,100,30,31,100,68
172,B,87,24,18,100,59
172,C,87,25,36,100,62
172,D,98,19,6,100,60
173,A,100,36,27,100,69
173,B,88,30,15,100,61
173,C,88,0,28,100,54
173,D,99,0,10,100,56
174,A,100,42,29,100,71
174,B,89,36,17,100,63
174,C,89,6,24,100,56
174,D,100,6,1,100,56
175,A,100,48,32,90,72
175,B,90,42,14,100,65
175,C,90,0,20,100,54
175,D,100,12,4,100,59
176,A,100,54,35,91,75
176,B,91,48,14,100,67
176,C,91,0,14,100,53
176,D,100,18,5,100,61
177,A,100,60,32,92,76
177,B,92,54,6,100,68
177,C,92,6,11,100,55
177,D,100,24,10,100,63
178,A,100,31,34,93,68
178,B,93,60,0,100,70
178,C,93,12,4,100,56
178,D,100,30,12,100,65
179,A,100,37,38,94,70
179,B,94,31,1,100,62
179,C,94,18,5,100,58
179,D,100,1,7,100,56
180,A,100,43,40,95,73
180,B,95,37,8,100,65
180,C,95,0,8,100,54
180,D,100,0,10,100,56
181,A,100,49,37,96,74
181,B,96,8,10,100,57
181,C,96,6,11,100,56
181,D,100,0,11,100,56
182,A,100,55,32,97,75
182,B,97,14,6,100,58
182,C,97,0,13,100,55
182,D,100,0,11,100,56
183,A,100,61,25,98,76
183,B,98,20,0,100,60
183,C,98,6,8,100,57
183,D,100,0,20,100,58
184,A,100,67,25,99,78
184,B,99,26,0,100,62
184,C,99,12,13,100,60
184,D,100,6,14,100,58
185,A,100,73,31,100,81
185,B,100,0,0,100,55
185,C,100,18,9,100,61
185,D,100,12,9,100,59
186,A,100,44,31,100,72
186,B,100,6,5,100,57
186,C,100,24,12,100,64
186,D,100,0,12,100,56
187,A,100,15,31,100,64
187,B,100,0,3,100,55
187,C,100,30,15,100,66
187,D,100,6,11,100,58
188,A,100,21,32,100,66
188,B,100,6,5,100,57
188,C,100,1,13,100,57
188,D,100,12,3,100,59
189,A,100,27,27,100,67
189,B,100,12,2,100,58
189,C,100,7,14,100,59
189,D,100,18,0,100,60
190,A,100,33,29,100,69
190,B,100,18,0,100,60
190,C,100,13,14,100,61
190,D,100,24,0,100,62
191,A,100,39,29,100,71
191,B,100,24,6,100,63
191,C,100,19,21,100,63
191,D,100,30,3,100,64
192,A,100,10,27,90,60
192,B,100,30,4,100,64
192,C,100,25,19,100,65
192,D,100,36,4,100,66
193,A,100,16,22,91,61
193,B,100,1,1,100,55
193,C,100,0,16,100,57
193,D,100,42,5,100,68
194,A,100,22,21,92,63
194,B,100,0,3,100,55
194,C,100,6,16,100,59
194,D,100,48,12,100,71
195,A,100,28,13,93,64
195,B,100,0,0,100,55
195,C,100,12,14,100,60
195,D,100,54,9,100,72
196,A,100,34,18,94,67
196,B,100,6,0,100,56
196,C,100,18,15,100,62
196,D,100,60,10,100,74
197,A,100,40,18,95,68
197,B,100,12,0,100,58
197,C,100,24,10,100,63
197,D,100,66,14,100,76
198,A,100,46,24,96,71
198,B,100,0,0,100,55
198,C,100,30,12,100,65
198,D,100,72,15,100,78
199,A,100,52,24,97,73
199,B,100,6,3,100,57
199,C,100,36,9,90,65
199,D,100,43,15,100,70
200,A,100,58,27,87,74
200,B,100,12,10,100,60
200,C,100,7,4,91,56
200,D,100,14,13,100,61
